Datum,Wohnungsart,Zimmeranzahl,Wohnungsgrösse_m2,Verkaufspreis,Wohnungs_Adresse,Kanton,Latitude/Longitude,clean
2022-12-21,unbekannt,4.5,98,495000,"Föhrenweg 14, 3250 Lyss, BE",BE,"(47.0701923, 7.316181176230242)",clean
2022-12-21,unbekannt,3.5,75,805000,"Oetlingerstrasse 150, 4057 Basel, BS",BS,"(47.5677545, 7.594004)",clean
2022-12-21,unbekannt,4.5,101,690000,"8580 Amriswil, TG",TG,"(47.5516419, 9.299608279932547)",clean
2022-12-21,unbekannt,3.5,87,660000,"Fliederstrasse 10, 9200 Gossau SG, SG",SG,"(47.4170634, 9.243189020466207)",clean
2022-12-21,unbekannt,3.5,128,670000,"Avenue des Alpes 6, 3960 Sierre, VS",VS,"(46.2935311, 7.5301468)",clean
2022-12-21,unbekannt,2.5,68,620000,"Chemin des Crêtes 44, 1997 Haute-Nendaz, VS",VS,"(46.184218, 7.2913851)",clean
2022-12-21,unbekannt,4.5,125,850000,"Hauptstrasse 9F, 2575 Gerolfingen, BE",BE,"(None, None)",clean
2022-12-21,Neubau,4.5,0,1190000,"Weingartenstrasse 13, 8371 Busswil TG, TG",TG,"(47.4502873, 9.0125455)",clean
2022-12-21,Neubau,3.5,0,950000,"Weingartenstrasse 13, 8371 Busswil TG, TG",TG,"(47.4502873, 9.0125455)",clean
2022-12-21,unbekannt,5.5,101,598000,"8570 Weinfelden, TG",TG,"(47.56661834066209, 9.111735588444722)",clean
2022-12-21,unbekannt,4.5,126,1300000,"Metzgerstrasse 7, 8406 Winterthur, ZH",ZH,"(47.49326925, 8.703021037485481)",clean
2022-12-21,unbekannt,5.5,130,930000,"Holenackerstrasse 47, 3027 Bern, BE",BE,"(46.9500068, 7.380304032098445)",clean
2022-12-21,unbekannt,2.5,82,725000,"Storchenweg 1, 3, 5, 9, 11, 13, 15 / Bertschenacker 11, 13, 15, 4104 Oberwil BL, BL",BL,"(None, None)",clean
2022-12-21,unbekannt,1.5,94,750000,"Storchenweg 1, 3, 5, 9, 11, 13, 15 / Bertschenacker 11, 13, 15, 4104 Oberwil BL, BL",BL,"(None, None)",clean
2022-12-21,unbekannt,3.5,186,1268000,"Storchenweg 1, 3, 5, 9, 11, 13, 15 / Bertschenacker 11, 13, 15, 4104 Oberwil BL, BL",BL,"(None, None)",clean
2022-12-21,unbekannt,4.5,205,1325000,"Storchenweg 1, 3, 5, 9, 11, 13, 15 / Bertschenacker 11, 13, 15, 4104 Oberwil BL, BL",BL,"(None, None)",clean
2022-12-21,unbekannt,3.5,96,720000,"Lingerizstrasse 80, 2540 Grenchen, SO",SO,"(47.1872099, 7.3782603)",clean
2022-12-21,unbekannt,5.5,135,1195000,"Walderstrasse 43C, 8340 Hinwil, ZH",ZH,"(47.2988314, 8.848115670981967)",clean
2022-12-21,unbekannt,0.0,0,490000,"Bodenmattstrasse 3, 3752 Wimmis, BE",BE,"(None, None)",clean
2022-12-21,unbekannt,3.5,130,1700000,"Hallenrain 6, 4104 Oberwil BL, BL",BL,"(47.5146403, 7.5633067)",clean
2022-12-21,unbekannt,5.5,103,600000,"Mitteldorfstrasse 44, 9524 Zuzwil SG, SG",SG,"(47.47444135, 9.11026689122272)",clean
2022-12-21,unbekannt,1.5,33,195500,"Rohrstrasse 3, 3507 Biglen, BE",BE,"(46.925268700000004, 7.629921352544588)",clean
2022-12-21,unbekannt,5.5,162,0,"Unterdorfstrasse 7, 3322 Urtenen-Schönbühl, BE",BE,"(47.0269839, 7.5036087)",clean
2022-12-21,unbekannt,6.5,0,1195000,"4800 Zofingen, AG",AG,"(47.28609400978675, 7.948882426047221)",clean
2022-12-21,unbekannt,4.5,122,810000,"Feld 1, 3427 Utzenstorf, BE",BE,"(47.14232440000001, 7.556042449999996)",clean
2022-12-21,unbekannt,4.5,164,0,"Johannes-Hirt-Strasse, 8804 Au ZH, ZH",ZH,"(47.2437423, 8.6458935)",clean
2022-12-21,unbekannt,4.5,100,550000,"Rue de l'Orée-du-Bois 13, 2300 La Chaux-de-Fonds, NE",NE,"(None, None)",clean
2022-12-21,unbekannt,4.5,1142,550000,"Allée des Meuqueux 1, 2300 La Chaux-de-Fonds, NE",NE,"(47.1098555, 6.833975936252653)",clean
2022-12-21,unbekannt,3.5,103,640000,"Bürenstrasse 17, 3298 Oberwil b. Büren, BE",BE,"(None, None)",clean
2022-12-21,unbekannt,6.0,285,567400,"Rue des fougères 27, 1964 Conthey, VS",VS,"(46.2183435, 7.3030783)",clean
2022-12-21,unbekannt,4.5,130,895000,"7204 Untervaz, GR",GR,"(46.928524558902275, 9.537216386211513)",clean
2022-12-21,unbekannt,5.5,130,745000,"Girardstrasse 10, 2540 Grenchen, SO",SO,"(47.1918196, 7.399262)",clean
